Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
ALDR,"Alder BioPharmaceuticals, Inc.",22.35,$1.12B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aldr
ALDX,"Aldeyra Therapeutics, Inc.",4.8,$60.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aldx
ALXN,"Alexion Pharmaceuticals, Inc.",132.07,$29.62B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alxn
ALCO,"Alico, Inc.",29.85,$248.22M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alco
ALGN,"Align Technology, Inc.",98.62,$7.86B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/algn
ALIM,"Alimera Sciences, Inc.",1.16,$75.24M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alim
ALJJ,"ALJ Regional Holdings, Inc.",4.28,$147.67M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aljj
ALKS,Alkermes plc,55.47,$8.43B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alks
ABTX,"Allegiance Bancshares, Inc.",33.95,$438.13M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abtx
ALGT,Allegiant Travel Company,172.55,$2.86B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/algt
AIQ,"Alliance HealthCare Services, Inc.",7.95,$85.37M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiq
AHGP,"Alliance Holdings GP, L.P.",31.06,$1.86B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ahgp
AMMA,"Alliance MMA, Inc.",3.8,$33.78M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amma
ARLP,"Alliance Resource Partners, L.P.",25.5,$1.9B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arlp
AHPI,"Allied Healthcare Products, Inc.",2.69,$10.8M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ahpi
AMOT,"Allied Motion Technologies, Inc.",23.69,$222.01M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amot
ALQA,"Alliqua BioMedical, Inc.",0.64,$18.99M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alqa
ALLT,Allot Communications Ltd.,4.94,$165.78M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/allt
MDRX,"Allscripts Healthcare Solutions, Inc.",11.11,$2.06B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mdrx
AFAM,Almost Family Inc,40.05,$415.45M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afam
ALNY,"Alnylam Pharmaceuticals, Inc.",42.25,$3.63B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alny
AOSL,Alpha and Omega Semiconductor Limited,22.99,$535.57M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aosl
GOOG,Alphabet Inc.,789.29,$544.01B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/goog
GOOGL,Alphabet Inc.,809.45,$557.9B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/googl
SMCP,AlphaMark Actively Managed Small Cap ETF,22.678,$24.95M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/smcp
ATEC,"Alphatec Holdings, Inc.",4.9,$43.66M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atec
ASPS,Altisource Portfolio Solutions S.A.,27.92,$527.06M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asps
AIMC,Altra Industrial Motion Corp.,39.8,$1.03B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aimc
AMAG,"AMAG Pharmaceuticals, Inc.",34,$1.16B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amag
AMRN,Amarin Corporation plc,3.22,$869.25M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amrn
AMRK,"A-Mark Precious Metals, Inc.",17.86,$125.58M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amrk
AYA,Amaya Inc.,14.45,$2.1B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aya
AMZN,"Amazon.com, Inc.",768.66,$365.24B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amzn
AMBC,"Ambac Financial Group, Inc.",26.74,$1.21B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ambc
AMBCW,"Ambac Financial Group, Inc.",14.96,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ambcw
AMBA,"Ambarella, Inc.",54.46,$1.78B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amba
AMCX,AMC Networks Inc.,52.4,$3.69B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amcx
DOX,Amdocs Limited,60.57,$8.96B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/dox
AMDA,Amedica Corporation,0.6649,$17.56M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amda
AMED,Amedisys Inc,42.05,$1.41B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amed
UHAL,Amerco,372.06,$7.3B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/uhal
ATAX,"America First Multifamily Investors, L.P.",5.75,$346.45M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atax
AMOV,"America Movil, S.A.B. de C.V.",12.7496,$41.8B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amov
AAL,"American Airlines Group, Inc.",49.64,$25.72B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aal
ACSF,"American Capital Senior Floating, Ltd.",11.85,$118.5M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acsf
ACAS,"American Capital, Ltd.",17.69,$3.82B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acas
AETI,"American Electric Technologies, Inc.",1.6,$13.34M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aeti
AMNB,"American National Bankshares, Inc.",34.7,$298.96M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amnb
ANAT,American National Insurance Company,131.18,$3.53B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anat
APEI,"American Public Education, Inc.",26.15,$420.91M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apei
ARII,"American Railcar Industries, Inc.",47.23,$914.46M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arii
AMRB,American River Bankshares,14.665,$97.62M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amrb
AMSWA,"American Software, Inc.",10.99,$319.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amswa
AMSC,American Superconductor Corporation,8.09,$114.87M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amsc
AMWD,American Woodmark Corporation,82.15,$1.33B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amwd
CRMT,"America&#39;s Car-Mart, Inc.",46.45,$364M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/crmt
ABCB,Ameris Bancorp,47.2,$1.65B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abcb
AMSF,"AMERISAFE, Inc.",65.5,$1.26B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amsf
ASRV,AmeriServ Financial Inc.,3.8,$71.83M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asrv
ASRVP,AmeriServ Financial Inc.,26.23,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asrvp
ATLO,Ames National Corporation,35,$325.88M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atlo
AMGN,Amgen Inc.,143.45,$106.72B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amgn
FOLD,"Amicus Therapeutics, Inc.",6.09,$866.77M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/fold
AMKR,"Amkor Technology, Inc.",10.86,$2.58B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amkr
AMPH,"Amphastar Pharmaceuticals, Inc.",19.73,$908.05M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amph
IBUY,Amplify Online Retail ETF,28.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ibuy
ASYS,"Amtech Systems, Inc.",4.075,$53.71M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asys
AFSI,"AmTrust Financial Services, Inc.",27.77,$4.73B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi
AMRS,"Amyris, Inc.",0.7997,$210.33M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amrs
ADI,"Analog Devices, Inc.",73.14,$22.54B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adi
ALOG,Analogic Corporation,82.35,$1.03B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alog
AVXL,Anavex Life Sciences Corp.,4.35,$155.34M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/avxl
ANCB,Anchor Bancorp,26,$65.14M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ancb
ANDA,Andina Acquisition Corp. II,9.93,$52.73M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anda
ANDAR,Andina Acquisition Corp. II,0.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/andar
ANDAU,Andina Acquisition Corp. II,10.5,$17.33M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/andau
ANDAW,Andina Acquisition Corp. II,0.2,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/andaw
ANGI,"Angie&#39;s List, Inc.",9.17,$542.44M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/angi
ANGO,"AngioDynamics, Inc.",17.04,$632.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ango
