Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote
NCZ,AllianzGI Convertible & Income Fund II,5.76,$428.72M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ncz
ACV,AllianzGI Diversified Income & Convertible Fund,18.59,$191.01M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acv
NIE,AllianzGI Equity & Convertible Income Fund,18.76,$519.82M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nie
NFJ,"AllianzGI NFJ Dividend, Interest & Premium Strategy Fund",12.88,$1.22B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nfj
AWH,"Allied World Assurance Company Holdings, AG",46.51,$4.05B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/awh
ALSN,"Allison Transmission Holdings, Inc.",34.66,$5.73B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alsn
ALL,Allstate Corporation (The),72.47,$26.69B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all
ALL^A,Allstate Corporation (The),25.09,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^a
ALL^B,Allstate Corporation (The),25.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^b
ALL^C,Allstate Corporation (The),26.15,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^c
ALL^D,Allstate Corporation (The),26.0501,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^d
ALL^E,Allstate Corporation (The),26.13,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^e
ALL^F,Allstate Corporation (The),25.5601,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/all^f
ALLY,Ally Financial Inc.,20.4,$9.62B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ally
ALLY^A,Ally Financial Inc.,25.28,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ally^a
ALJ,"Alon USA Energy, Inc.",11.53,$825.52M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/alj
ALDW,"Alon USA Partners, LP",9.82,$613.95M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aldw
AGD,Alpine Global Dynamic Dividend Fund,8.88,$111.44M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/agd
AWP,Alpine Global Premier Properties Fund,5.26,$449.25M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/awp
AOD,Alpine Total Dynamic Dividend Fund,7.6,$817.71M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aod
RESI,Altisource Residential Corporation,12.04,$648.59M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/resi
MO,Altria Group,66.27,$129.24B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mo
ACH,Aluminum Corporation of China Limited,11.31,$6.74B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ach
AMBR,"Amber Road, Inc.",10.75,$288.31M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ambr
ABEV,Ambev S.A.,4.89,$76.86B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abev
AMC,"AMC Entertainment Holdings, Inc.",32.6,$3.32B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amc
AMFW,Amec Plc Ord,5.7,$2.24B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amfw
AEE,Ameren Corporation,50.73,$12.31B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aee
AMRC,"Ameresco, Inc.",6.15,$281.97M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amrc
AMX,"America Movil, S.A.B. de C.V.",12.89,$42.26B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amx
AAT,"American Assets Trust, Inc.",42.65,$1.95B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aat
AXL,"American Axle & Manufacturing Holdings, Inc.",18.01,$1.38B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axl
ACC,American Campus Communities Inc,47.54,$6.28B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acc
AEO,"American Eagle Outfitters, Inc.",17.97,$3.27B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aeo
AEP,"American Electric Power Company, Inc.",60.99,$29.99B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aep
AEL,American Equity Investment Life Holding Company,23.05,$2.03B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ael
AXP,American Express Company,74.77,$68.43B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axp
AFA,"American Financial Group, Inc.",24.95,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afa
AFG,"American Financial Group, Inc.",86.01,$7.47B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afg
AFGE,"American Financial Group, Inc.",25.3,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afge
AFGH,"American Financial Group, Inc.",24.2653,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afgh
AFW,"American Financial Group, Inc.",25.45,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afw
AMH,American Homes 4 Rent,21.25,$5.07B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh
AMH^A,American Homes 4 Rent,27.8,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^a
AMH^B,American Homes 4 Rent,27.6127,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^b
AMH^C,American Homes 4 Rent,27.3674,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^c
AMH^D,American Homes 4 Rent,24.15,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^d
AMH^E,American Homes 4 Rent,23.67,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amh^e
AIG,"American International Group, Inc.",65.83,$67.62B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aig
AIG.WS,"American International Group, Inc.",n/a,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aig.ws
AMID,"American Midstream Partners, LP",16.3,$681.3M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amid
ARL,"American Realty Investors, Inc.",6.0089,$93.22M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arl
ARA,"American Renal Associates Holdings, Inc",22.57,$696.69M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ara
AWR,American States Water Company,45.54,$1.67B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/awr
AMT,American Tower Corporation (REIT),102.91,$43.81B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt
AMT^A,American Tower Corporation (REIT),103.0018,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^a
AMT^B,American Tower Corporation (REIT),101.42,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amt^b
AVD,American Vanguard Corporation,19.65,$576.92M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/avd
AWK,American Water Works,73.02,$13B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/awk
APU,"AmeriGas Partners, L.P.",44.63,$4.15B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apu
AMP,"AMERIPRISE FINANCIAL SERVICES, INC.",118.57,$18.74B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amp
ABC,AmerisourceBergen Corporation (Holding Co),78.9,$17.37B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abc
ANFI,Amira Nature Foods Ltd,6.65,$198.43M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anfi
AMN,AMN Healthcare Services Inc,38.05,$1.83B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/amn
AP,Ampco-Pittsburgh Corporation,17.3,$212.28M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ap
APH,Amphenol Corporation,68.51,$21.13B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aph
BETR,"Amplify Snack Brands, inc.",9.55,$733.29M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/betr
AXR,AMREP Corporation,7.3957,$59.75M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axr
AME,"AMTEK, Inc.",50.87,$11.77B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ame
AFSI^A,"AmTrust Financial Services, Inc.",24.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^a
AFSI^B,"AmTrust Financial Services, Inc.",24.8718,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^b
AFSI^C,"AmTrust Financial Services, Inc.",24.98,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^c
AFSI^D,"AmTrust Financial Services, Inc.",24.7642,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^d
AFSI^E,"AmTrust Financial Services, Inc.",25.15,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^e
AFSI^F,"AmTrust Financial Services, Inc.",22.92,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afsi^f
AFSS,"AmTrust Financial Services, Inc.",25.1,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afss
AFST,"AmTrust Financial Services, Inc.",25.77,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afst
AEUA,Anadarko Petroleum Corporation,41.12,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aeua
APC,Anadarko Petroleum Corporation,70.47,$39.39B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apc
AU,AngloGold Ashanti Limited,10.67,$4.35B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/au
BUD,Anheuser-Busch Inbev SA,103.54,$200.22B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/bud
AXE,Anixter International Inc.,81.95,$2.71B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/axe
NLY,Annaly Capital Management Inc,10.48,$10.68B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly
NLY^A,Annaly Capital Management Inc,24.98,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^a
NLY^C,Annaly Capital Management Inc,24.03,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^c
NLY^D,Annaly Capital Management Inc,24.05,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^d
NLY^E,Annaly Capital Management Inc,24.01,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/nly^e
AM,Antero Midstream Partners LP,28.77,$5.1B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/am
AR,Antero Resources Corporation,26.72,$8.39B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ar
ANTM,"Anthem, Inc.",145.88,$38.43B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/antm
ANTX,"Anthem, Inc.",47.07,$12.4B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/antx
ANH,Anworth Mortgage Asset  Corporation,5.31,$508.24M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh
ANH^A,Anworth Mortgage Asset  Corporation,25.5386,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^a
ANH^B,Anworth Mortgage Asset  Corporation,25.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^b
ANH^C,Anworth Mortgage Asset  Corporation,24.9,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/anh^c
AON,Aon plc,113.03,$29.74B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aon
APA,Apache Corporation,66.56,$25.25B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apa
AIV,Apartment Investment and Management Company,42.31,$6.64B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiv
AIV^A,Apartment Investment and Management Company,25.86,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiv^a
ARI,Apollo Commercial Real Estate Finance,18.05,$1.46B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari
ARI^A,Apollo Commercial Real Estate Finance,25.518,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^a
ARI^C,Apollo Commercial Real Estate Finance,25,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ari^c
APO,"Apollo Global Management, LLC",20.86,$8.37B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/apo
AIB,Apollo Investment Corporation,24.69,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aib
AIY,Apollo Investment Corporation,25.2239,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aiy
AFT,Apollo Senior Floating Rate Fund Inc.,17.2,$267.86M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aft
AIF,Apollo Tactical Income Fund Inc.,15.2,$219.85M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aif
APLE,"Apple Hospitality REIT, Inc.",19.73,$4.41B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aple
AIT,"Applied Industrial Technologies, Inc.",62.25,$2.43B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/ait
ATR,"AptarGroup, Inc.",74.75,$4.69B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/atr
WTR,"Aqua America, Inc.",30.1,$5.34B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/wtr
WAAS,AquaVenture Holdings Limited,23.91,$630.94M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/waas
ARMK,Aramark,36.09,$8.83B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/armk
ABR,Arbor Realty Trust,7.52,$386.54M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr
ABR^A,Arbor Realty Trust,25.2601,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^a
ABR^B,Arbor Realty Trust,24.4153,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^b
ABR^C,Arbor Realty Trust,25.2858,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abr^c
ABRN,Arbor Realty Trust,25.35,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/abrn
ARC,"ARC Document Solutions, Inc.",4.95,$227.57M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arc
ARCX,Arc Logistic Partners LP,14.5,$279.89M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arcx
MT,ArcelorMittal,8.07,$24.67B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/mt
ARH^C,Arch Capital Group Ltd.,25.48,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arh^c
ARCH,"Arch Coal, Inc.",80.05,$2B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arch
ADM,Archer-Daniels-Midland Company,46.56,$26.79B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/adm
AROC,"Archrock, Inc.",14.15,$985.21M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aroc
ARNC,Arconic Inc.,21.8,$9.56B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arnc
ARNC^B,Arconic Inc.,35.4568,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arnc^b
ARCO,Arcos Dorados Holdings Inc.,5.85,$1.23B,n/a,n/a,n/a,http://www.nasdaq.com/symbol/arco
ASC,Ardmore Shipping Corporation,7.25,$243.42M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/asc
AFC,Ares Capital Corporation,25.525,$204.2M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/afc
ARU,Ares Capital Corporation,25.68,n/a,n/a,n/a,n/a,http://www.nasdaq.com/symbol/aru
ACRE,Ares Commercial Real Estate Corporation,14.27,$406.45M,n/a,n/a,n/a,http://www.nasdaq.com/symbol/acre
